Time: 0 | a: 0100101000101101 | b: 1011001111010100 | result: 11101001111011011110010001000100 | result (hex): e9ede444
Time: 10 | a: 0101001111001111 | b: 1110100000011110 | result: 11111000001011100110101001000010 | result (hex): f82e6a42
Time: 20 | a: 1101110000010001 | b: 0001000100110100 | result: 11111101100101011101010001110100 | result (hex): fd95d474
Time: 30 | a: 1110101011100100 | b: 1000111011000010 | result: 00001001010101100111100011001000 | result (hex): 95678c8
Time: 40 | a: 1011111001111111 | b: 1100001001010101 | result: 00001111110001110111111000101011 | result (hex): fc77e2b
Time: 50 | a: 1110010000101010 | b: 0100011101100101 | result: 11111000001111001010101010010010 | result (hex): f83caa92
Time: 60 | a: 0101010010101110 | b: 0000110110110011 | result: 00000100100010000000101110101010 | result (hex): 4880baa
Time: 70 | a: 0001110010011100 | b: 1001011001000001 | result: 11110100001011101010101110011100 | result (hex): f42eab9c
Time: 80 | a: 1100101101111110 | b: 1011101111110110 | result: 00001101111101001001010100010100 | result (hex): df49514
Time: 90 | a: 0101011101110000 | b: 0101101100101110 | result: 00011111001001001000011000100000 | result (hex): 1f248620
Time: 100 | a: 0100110110010100 | b: 0001010110111100 | result: 00000110100101100001110010110000 | result (hex): 6961cb0
Time: 110 | a: 1001011101110101 | b: 1100010011100000 | result: 00011000001001010001101001100000 | result (hex): 18251a60
Time: 120 | a: 1010000110000101 | b: 0010100101010101 | result: 11110000101111101110111000101001 | result (hex): f0beee29
Time: 130 | a: 1010001100011111 | b: 0100011111011010 | result: 11100101111011101000000101100110 | result (hex): e5ee8166
Time: 140 | a: 1111011001110010 | b: 1100111011110000 | result: 00000001110101001100011011100000 | result (hex): 1d4c6e0
Time: 150 | a: 0001110101111010 | b: 1100000010100000 | result: 11111000101100111110110001000000 | result (hex): f8b3ec40
Time: 160 | a: 0000001011000101 | b: 1111000101001001 | result: 11111111110101110011111100101101 | result (hex): ffd73f2d
Time: 170 | a: 0010100010111110 | b: 0101111011010110 | result: 00001111000101111101001011010100 | result (hex): f17d2d4
Time: 180 | a: 1000001001111101 | b: 1001001110100010 | result: 00110101001000010101101000011010 | result (hex): 35215a1a
Time: 190 | a: 0110110110011000 | b: 1100000011111101 | result: 11100101000001100100111100111000 | result (hex): e5064f38
Time: 200 | a: 1101010111111000 | b: 1101000111000010 | result: 00000111100101111001110111110000 | result (hex): 7979df0
Time: 210 | a: 1000100001100010 | b: 1010101010100110 | result: 00100111111000011000001110001100 | result (hex): 27e1838c
Time: 220 | a: 0101111101110110 | b: 0010010011111110 | result: 00001101110010110100111100010100 | result (hex): dcb4f14
Time: 230 | a: 1100000011100111 | b: 1010101011110100 | result: 00010100111101100100001000101100 | result (hex): 14f6422c
Time: 240 | a: 0110000011110101 | b: 1001100001010111 | result: 11011000101111010110101101000011 | result (hex): d8bd6b43
Time: 250 | a: 1000011000100010 | b: 0010111010001001 | result: 11101001110110001110010000110010 | result (hex): e9d8e432
Time: 260 | a: 0010111000010100 | b: 1001110110010111 | result: 11101110010010010111000111001100 | result (hex): ee4971cc
Time: 270 | a: 0111001101101001 | b: 0100111110011001 | result: 00100011111000100110000011000001 | result (hex): 23e260c1
Time: 280 | a: 0100011011101100 | b: 1001011010001001 | result: 11100010110010000011110001001100 | result (hex): e2c83c4c
Time: 290 | a: 0001011101110011 | b: 1011110101011111 | result: 11111001111001011001101010101101 | result (hex): f9e59aad
Time: 300 | a: 1110010101111001 | b: 1011010011101101 | result: 00000111110001111000010100000101 | result (hex): 7c78505
Time: 310 | a: 1111110111111111 | b: 0110100000111110 | result: 11111111001011110001101111000010 | result (hex): ff2f1bc2
Time: 320 | a: 0010011000110110 | b: 1010011010111101 | result: 11110010101011010011100111011110 | result (hex): f2ad39de
Time: 330 | a: 0100011100010100 | b: 0010100010110100 | result: 00001011010011010001101000010000 | result (hex): b4d1a10
Time: 340 | a: 1011101001011111 | b: 0011010010101100 | result: 11110001101011001000001111010100 | result (hex): f1ac83d4
Time: 350 | a: 0110100110110001 | b: 0001000001010111 | result: 00000110101111101111101100100111 | result (hex): 6befb27
Time: 360 | a: 1000011001101111 | b: 0111001000010011 | result: 11001001110101000110100000111101 | result (hex): c9d4683d
Time: 370 | a: 0011101011111110 | b: 0110010111100101 | result: 00010111011110101111101100110110 | result (hex): 177afb36
Time: 380 | a: 0001011100010010 | b: 0111101111100101 | result: 00001011001010100100100100011010 | result (hex): b2a491a
Time: 390 | a: 1001000011011001 | b: 1111100000000111 | result: 00000011011101100010110111101111 | result (hex): 3762def
Time: 400 | a: 1001010000111101 | b: 1001011011111011 | result: 00101100001101010001010111001111 | result (hex): 2c3515cf
Time: 410 | a: 1010011010010000 | b: 0100001001010001 | result: 11101000110101001101001110010000 | result (hex): e8d4d390
Time: 420 | a: 1011010010010010 | b: 1001100111111001 | result: 00011110000011111110010000000010 | result (hex): 1e0fe402
Time: 430 | a: 0001000111101010 | b: 0111101101111111 | result: 00001000101001000101000100010110 | result (hex): 8a45116
Time: 440 | a: 1011000010000010 | b: 1010100101011101 | result: 00011010111001101111000100111010 | result (hex): 1ae6f13a
Time: 450 | a: 1011100011011110 | b: 0001010111111100 | result: 11111001111001000011000010001000 | result (hex): f9e43088
Time: 460 | a: 1101111001001011 | b: 0011011011011101 | result: 11111000110001101011100010111111 | result (hex): f8c6b8bf
Time: 470 | a: 1111111000111010 | b: 1000010010000001 | result: 00000000110110110000001100111010 | result (hex): db033a
Time: 480 | a: 0101110110011010 | b: 1100010101001111 | result: 11101010100010100110010010000110 | result (hex): ea8a6486
